outcome,predictor,beta_standardized,std_error_hc3,ci_95_low,ci_95_high,p_value,n,r_squared,adjusted_r_squared,run_fixed_effects
ad_attitude_all_items,extraversion,0.39997419827342096,0.012350991275379539,0.3757667002003086,0.4241816963465333,4.6146313949336245e-230,4987,0.2689312921887196,0.2668727720943195,True
ad_attitude_all_items,agreeableness,0.1896115813264446,0.01237642987416302,0.16535422451589948,0.2138689381369897,5.589170763756487e-53,4987,0.2689312921887196,0.2668727720943195,True
ad_attitude_all_items,conscientiousness,0.15605699917432686,0.012160343386367733,0.13222316409740625,0.17989083425124747,1.0675787474718993e-37,4987,0.2689312921887196,0.2668727720943195,True
ad_attitude_all_items,neuroticism,-0.06225161156288727,0.012101853540679415,-0.08597080864879746,-0.038532414476977084,2.6898777213598213e-07,4987,0.2689312921887196,0.2668727720943195,True
ad_attitude_all_items,openness,0.21573144450698484,0.012398352489237485,0.19143112016044683,0.24003176885352284,8.249000936612503e-68,4987,0.2689312921887196,0.2668727720943195,True
purchase_intention_all_items,ad_attitude_all_items,0.5494883357448085,0.01455127620924136,0.5209683584456009,0.5780083130440161,0.0,4695,0.27699876267457957,0.2746809557585972,True
purchase_intention_all_items,extraversion,-0.09092583219448505,0.013704498929213466,-0.11778615652191118,-0.06406550786705892,3.2506779172181646e-11,4695,0.27699876267457957,0.2746809557585972,True
purchase_intention_all_items,agreeableness,-0.0016103767853535272,0.012477694927218019,-0.026066209452778974,0.022845455882071923,0.8973098252267173,4695,0.27699876267457957,0.2746809557585972,True
purchase_intention_all_items,conscientiousness,0.04238607923802866,0.012485922557459072,0.017914120711652635,0.06685803776440469,0.0006870146872748606,4695,0.27699876267457957,0.2746809557585972,True
purchase_intention_all_items,neuroticism,0.007485268961629785,0.01242146653188269,-0.016860358076029938,0.03183089599928951,0.546769826151555,4695,0.27699876267457957,0.2746809557585972,True
purchase_intention_all_items,openness,-0.010827424288342151,0.01298370347241673,-0.03627501548022658,0.01462016690354228,0.40432370983550237,4695,0.27699876267457957,0.2746809557585972,True
