configuration,outcome,predictor,beta_standardized,std_error_hc3,ci_95_low,ci_95_high,p_value,n,r_squared,adjusted_r_squared,run_fixed_effects
American__gemma2_9b,ad_attitude_all_items,extraversion,0.6481915705664681,0.01071685631251243,0.627186918166453,0.6691962229664833,0.0,5000,0.5407315804399933,0.5402717602361887,False
American__gemma2_9b,ad_attitude_all_items,agreeableness,0.17972703507489296,0.009486777748253836,0.16113329235897944,0.19832077779080648,4.855612012050407e-80,5000,0.5407315804399933,0.5402717602361887,False
American__gemma2_9b,ad_attitude_all_items,conscientiousness,0.13836344692739674,0.009664913527387886,0.11942056450002252,0.15730632935477099,1.737044307688902e-46,5000,0.5407315804399933,0.5402717602361887,False
American__gemma2_9b,ad_attitude_all_items,neuroticism,-0.0963854281059752,0.00972601310386553,-0.11544806350271626,-0.07732279270923413,3.7639886874464004e-23,5000,0.5407315804399933,0.5402717602361887,False
American__gemma2_9b,ad_attitude_all_items,openness,0.25745662088992655,0.009776047532796059,0.2382959198144946,0.2766173219653585,7.533691891629606e-153,5000,0.5407315804399933,0.5402717602361887,False
American__gemma2_9b,purchase_intention_all_items,ad_attitude_all_items,0.005486516207943682,0.02285503238820809,-0.03930852413844064,0.050281556554328,0.8102858753438605,5000,0.009597820110956334,0.008407671286735585,False
American__gemma2_9b,purchase_intention_all_items,extraversion,-0.019767182828050053,0.019041379386570287,-0.0570876006416912,0.017553234985591096,0.29921550999807667,5000,0.009597820110956334,0.008407671286735585,False
American__gemma2_9b,purchase_intention_all_items,agreeableness,-0.06414492898583699,0.01522579251498546,-0.09398693395128802,-0.034302924020385955,2.520989347330175e-05,5000,0.009597820110956334,0.008407671286735585,False
American__gemma2_9b,purchase_intention_all_items,conscientiousness,-0.03319034168647997,0.014115562184880645,-0.06085633519038155,-0.005524348182578388,0.01870644655012905,5000,0.009597820110956334,0.008407671286735585,False
American__gemma2_9b,purchase_intention_all_items,neuroticism,0.0584116478763652,0.014214971700729245,0.030550815301679798,0.0862724804510506,3.970942646484938e-05,5000,0.009597820110956334,0.008407671286735585,False
American__gemma2_9b,purchase_intention_all_items,openness,0.02866442917325702,0.01421590667109575,0.0008017640903266593,0.056527094256187384,0.04376202457102756,5000,0.009597820110956334,0.008407671286735585,False
Arab__jais-adaptive_7b,ad_attitude_all_items,extraversion,0.18405577576857865,0.014327820774736082,0.15597376307315114,0.21213778846400616,9.052570565313124e-38,4720,0.03826134247634294,0.03724125480395901,False
Arab__jais-adaptive_7b,ad_attitude_all_items,agreeableness,0.04395397655329534,0.01414322033035824,0.016233774080378502,0.07167417902621218,0.0018850016713032026,4720,0.03826134247634294,0.03724125480395901,False
Arab__jais-adaptive_7b,ad_attitude_all_items,conscientiousness,0.04345701145659878,0.014395137017131965,0.01524306135050079,0.07167096156269678,0.002537214613741958,4720,0.03826134247634294,0.03724125480395901,False
Arab__jais-adaptive_7b,ad_attitude_all_items,neuroticism,-0.014838834240556202,0.014420249545016427,-0.043102003996868504,0.013424335515756097,0.30346672310492107,4720,0.03826134247634294,0.03724125480395901,False
Arab__jais-adaptive_7b,ad_attitude_all_items,openness,0.02657083588141622,0.01440122153628999,-0.0016550396630947498,0.05479671142592719,0.0650316585414898,4720,0.03826134247634294,0.03724125480395901,False
Arab__jais-adaptive_7b,purchase_intention_all_items,ad_attitude_all_items,0.10479517776311822,0.020574097314012805,0.06447068801323086,0.1451196675130056,3.514217229278781e-07,4720,0.01122160611950418,0.009962817584964978,False
Arab__jais-adaptive_7b,purchase_intention_all_items,extraversion,-0.011738658693463758,0.015059445425582144,-0.04125462935475123,0.01777731196782371,0.4356922373168103,4720,0.01122160611950418,0.009962817584964978,False
Arab__jais-adaptive_7b,purchase_intention_all_items,agreeableness,0.0017068712721021156,0.014504026460975152,-0.026720498222225122,0.03013424076642935,0.9063191690309291,4720,0.01122160611950418,0.009962817584964978,False
Arab__jais-adaptive_7b,purchase_intention_all_items,conscientiousness,-0.01871193495075134,0.01462236329242881,-0.047371240372772336,0.009947370471269656,0.2006579637625816,4720,0.01122160611950418,0.009962817584964978,False
