outcome,predictor,beta_standardized,std_error_hc3,ci_95_low,ci_95_high,p_value,n,r_squared,adjusted_r_squared,run_fixed_effects
ad_attitude_core,extraversion,0.5227519839165395,0.011018588364183735,0.5011559475622673,0.5443480202708117,0.0,4987,0.38862765647446906,0.3869061736085485,True
ad_attitude_core,agreeableness,0.23437613143921,0.0110894780317701,0.21264115388959248,0.2561111089888275,3.791790479257626e-99,4987,0.38862765647446906,0.3869061736085485,True
ad_attitude_core,conscientiousness,0.1583424904132218,0.0110106778226686,0.13676195843541744,0.17992302239102614,6.828837984557582e-47,4987,0.38862765647446906,0.3869061736085485,True
ad_attitude_core,neuroticism,-0.05954571334450205,0.011238252680831007,-0.08157228384809154,-0.03751914284091257,1.167674623788986e-07,4987,0.38862765647446906,0.3869061736085485,True
ad_attitude_core,openness,0.18396461623681407,0.011245512804874425,0.1619238161515762,0.20600541632205194,3.756379868835389e-60,4987,0.38862765647446906,0.3869061736085485,True
purchase_intention_core,ad_attitude_core,-0.05309748287578072,0.02002341966162397,-0.0923426642598949,-0.013852301491666538,0.008007130999234781,4695,0.015444406488351659,0.012288105162710505,True
purchase_intention_core,extraversion,0.04033162221063273,0.017166361839774207,0.006686171259092544,0.07397707316217292,0.01880083547708435,4695,0.015444406488351659,0.012288105162710505,True
purchase_intention_core,agreeableness,0.047803717732159384,0.014867276517111637,0.018664391210422484,0.07694304425389628,0.0013027884254469243,4695,0.015444406488351659,0.012288105162710505,True
purchase_intention_core,conscientiousness,0.0887024431807065,0.014597455274234726,0.060091956577272176,0.11731292978414082,1.2278123922238859e-09,4695,0.015444406488351659,0.012288105162710505,True
purchase_intention_core,neuroticism,0.0010329055624230636,0.014675554525699096,-0.027730652761100958,0.029796463885947085,0.9438890382127463,4695,0.015444406488351659,0.012288105162710505,True
purchase_intention_core,openness,0.06734636627001699,0.014942683595830142,0.03805924458981244,0.09663348795022153,6.575703299048334e-06,4695,0.015444406488351659,0.012288105162710505,True
