trait,indirect_effect_mean,bootstrap_se,ci_95_low,ci_95_high,significant_95,bootstrap_method,n_boot,seed,n_complete
extraversion,0.2225703950216062,0.008616190688430437,0.20640303766364665,0.24019068049456863,True,run-stratified percentile,2000,20251010,4695
agreeableness,0.10644461704190995,0.007396381713618732,0.09167901440692829,0.121138527023195,True,run-stratified percentile,2000,20251010,4695
conscientiousness,0.08598423203233622,0.007062614405165769,0.07274274929714335,0.10043768228117421,True,run-stratified percentile,2000,20251010,4695
neuroticism,-0.03527918085559623,0.006971843944627559,-0.04879993224247136,-0.021774676457735558,True,run-stratified percentile,2000,20251010,4695
openness,0.11862462401422802,0.007613550826899343,0.10329764434117726,0.1335164351346254,True,run-stratified percentile,2000,20251010,4695
