lval,op,rval,Estimate,Est. Std,Std. Err,z-value,p-value
F7,~,F6,-0.048403099366328195,-0.042437729275405664,0.018182230450217777,-2.662110102288707,0.0077652473748053286
F6,~,F1,-5.104568214148032,-2.4082571617323495e-08,61.49404030304508,-0.08300915322838495,0.9338442615109794
F6,~,F2,-2.461238596996825,-0.27234844620250054,98.37266783463532,-0.02501953694225461,0.9800393802592995
F6,~,F3,-30.129232586265797,-4.792339253875835,183.47365149950753,-0.16421558267371436,0.8695614344327156
F6,~,F4,-4.247888977126925,-0.5767512830979302,69.20114943232576,-0.06138465924299456,0.9510528694695943
F6,~,F5,45.2103106420365,7.263197774593799,147.81198930385472,0.30586362347845875,0.7597084836859118
BFI_11,~,F1,1.0,2.617794819608275e-09,-,-,-
BFI_12,~,F1,1.323575169522018,3.4787222263173385e-09,0.0648038892040494,20.424316900703655,0.0
BFI_13,~,F1,0.5803699914281035,1.5273164850595225e-09,0.03992094272356619,14.537983119095049,0.0
BFI_21,~,F2,1.0,0.06129727556381355,-,-,-
BFI_22,~,F2,1.0440624898020237,0.06396747870263456,0.08945079982279952,11.671918997467001,0.0
BFI_23,~,F2,0.7458130882631564,0.046010709671840316,0.0758141518279863,9.837386164333594,0.0
BFI_31,~,F3,1.0,0.08814156082485791,-,-,-
BFI_32,~,F3,0.9386117996537131,0.08312518670562768,0.09519930199321679,9.859439932771064,0.0
BFI_33,~,F3,0.813265215609522,0.07196559666575075,0.089205494721621,9.116761452176464,0.0
BFI_41,~,F4,1.0,0.07561388220636649,-,-,-
BFI_42,~,F4,0.6300338732183948,0.0476319297252129,0.10727164268716877,5.873256504982026,4.273164933010776e-09
BFI_43,~,F4,0.8833450013824163,0.06598486160300655,0.12228761656078407,7.223503296722762,5.067057884389214e-13
BFI_51,~,F5,1.0,0.08861705047285909,-,-,-
BFI_52,~,F5,0.571772021322437,0.05128433386060452,0.08936573645646907,6.398112341350811,1.5730949876058276e-10
BFI_53,~,F5,1.0769136143073963,0.09591357300753085,0.1157175426890513,9.306398919927833,0.0
ad_att_1,~,F6,1.0,0.7628373651088772,-,-,-
ad_att_2,~,F6,0.7291056058063106,0.6241008888959665,0.0179564730914553,40.604054150959975,0.0
ad_att_3,~,F6,0.3721272939168624,0.24504259079441978,0.023511742852370798,15.827295162149657,0.0
ad_att_4,~,F6,0.5555381059626087,0.35286754135776016,0.024330479267964767,22.833011212863223,0.0
intent_1,~,F7,1.0,0.7775771963395438,-,-,-
intent_2,~,F7,1.4078932532619703,0.9670823161489925,0.02062963836002404,68.24614317631129,0.0
intent_3,~,F7,1.2968358592237053,0.8228714187952935,0.02022275026336147,64.12757128831866,0.0
F1,~~,F1,1.5975358187820627e-18,0.11545998745902182,0.017402219243518084,9.180069486168016e-17,1.0
F1,~~,F2,-0.0007464851659276245,-2300248.453171814,0.010024264759206737,-0.07446782220786327,0.9406381442124827
F2,~~,F2,0.0076115616752782155,1.0,0.01914709018197051,0.3975309878703118,0.6909759401058584
F3,~~,F3,0.015727162355946095,0.9999999999999998,0.019751248081786382,0.7962616990089169,0.4258799425064468
F3,~~,F1,-0.00275472744396259,-5905326.324277956,0.010243047852141477,-0.2689363052343578,0.7879786982903609
F3,~~,F2,-0.0005322721504654726,-0.04864874858309939,0.011137227720304052,-0.047792158316679295,0.9618818861733682
F3,~~,F5,0.01592709523554951,1.0026637465497954,0.011612435573302424,1.371555100016671,0.1702019795087315
F4,~~,F4,0.011459409122075982,1.0,0.023604740898498608,0.4854706590877849,0.6273425208139227
F4,~~,F1,-0.02018418156006093,-50689788.887154676,0.011163947422121718,-1.8079789159753072,0.07060978211617197
F4,~~,F2,-0.0038333234207439306,-0.4104473582835188,0.012032151431326188,-0.31859002459403307,0.7500374188031076
F4,~~,F3,0.01482925417411404,1.1046202782285783,0.012356299075866255,1.2001371998091004,0.23008606025037626
F4,~~,F5,0.004991081628076011,0.3680929341205585,0.012468147218782547,0.4003066004993049,0.688930707012058
F5,~~,F5,0.016043981735975436,0.9999999999999996,0.021205222302632182,0.7566052129162215,0.44928641731624896
F5,~~,F1,0.005685455342067552,12067008.647192733,0.010391801018712064,0.5471097196032613,0.5843033551227315
F5,~~,F2,0.004700096149413776,0.4253180142128819,0.011298401965120615,0.41599654212228265,0.6774125335119443
F6,~~,F6,0.3807577924503133,0.612515945579627,56.170768863330885,0.0067785754077308155,0.994591520757077
F7,~~,F7,0.8072175872567643,0.9981990391339475,0.025615154686703355,31.513281770040294,0.0
BFI_11,~~,BFI_11,2.0190537959641603,1.0000000000000002,0.044075520267042215,45.8089611576999,0.0
BFI_12,~~,BFI_12,2.002980939968649,1.0,0.050430275029164626,39.71782701503364,0.0
BFI_13,~~,BFI_13,1.9978869825907053,1.0,0.040496549009779705,49.33474657455111,0.0
BFI_21,~~,BFI_21,2.0181644607202407,0.996242644008454,0.04463854200750632,45.21125399516094,0.0
BFI_22,~~,BFI_22,2.019424319178155,0.9959081616684281,0.04540826502537084,44.47261567922436,0.0
BFI_23,~~,BFI_23,1.995701291442958,0.9978830145954936,0.04134749772112833,48.26655544804347,0.0
BFI_31,~~,BFI_31,2.008638194399353,0.9922310652553578,0.0445818041514056,45.055112339839404,0.0
BFI_32,~~,BFI_32,1.991341843169803,0.9930902033351546,0.043323301637066824,45.96468338922889,0.0
BFI_33,~~,BFI_33,1.9980659909076206,0.9948209528965425,0.041978983866901846,47.596816473573355,0.0
BFI_41,~~,BFI_41,1.9928240945564788,0.9942825408176816,0.04621951840519814,43.116504958849525,0.0
BFI_42,~~,BFI_42,2.0003556798844455,0.9977311992706522,0.04113390785855754,48.63033404738031,0.0
BFI_43,~~,BFI_43,2.044745535550327,0.9956459980392323,0.044816871314839316,45.62445961790436,0.0
BFI_51,~~,BFI_51,2.026999346605904,0.9921470183654906,0.0455646836950215,44.48619374006304,0.0
BFI_52,~~,BFI_52,1.98904581366522,0.997369917100474,0.04041250421017277,49.218573619481674,0.0
BFI_53,~~,BFI_53,2.004010575314318,0.9908005865129291,0.046759451067359376,42.85787214192444,0.0
ad_att_1,~~,ad_att_1,0.44660748790306826,0.4180791543937457,0.014053988165899211,31.777989464580934,0.0
ad_att_2,~~,ad_att_2,0.5179489730383284,0.6104980804792627,0.012086042982304895,42.85513246591952,0.0
