variable,n,missing_n,mean,std_dev,min,max
extraversion,4987,0,2.997794265089232,0.824627362691018,1.0,5.0
agreeableness,4987,0,3.003809905754963,0.8362144140103053,1.0,5.0
conscientiousness,4987,0,2.993382795267696,0.8234679406943509,1.0,5.0
neuroticism,4987,0,3.0050798743399505,0.8177080604298017,1.0,5.0
openness,4987,0,2.9853619410467216,0.8131515636215898,1.0,5.0
ad_attitude_core,4987,0,3.89522759173852,0.7052616440009142,2.5,6.5
purchase_intention_core,4695,292,2.522470713525027,0.6344363215031261,1.5,5.5
ad_attitude_all_items,4987,0,3.9032484459594947,0.5686994358802624,2.0,6.0
purchase_intention_all_items,4695,292,2.2098686545970887,0.5111752318615665,1.3333333333333333,5.0
